population_density,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million
54.422,156512.0,237.0,33.857,7292.0,8.0,1.143,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,156864.0,352.0,50.286,7301.0,9.0,1.286,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,157190.0,326.0,46.571,7308.0,7.0,1.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,157431.0,241.0,34.429,7312.0,4.0,0.571,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,157611.0,180.0,25.714,7325.0,13.0,1.857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,157745.0,134.0,19.143,7333.0,8.0,1.143,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,157902.0,157.0,22.429,7352.0,19.0,2.714,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,158112.0,210.0,30.0,7356.0,4.0,0.571,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,158345.0,233.0,33.286,7369.0,13.0,1.857,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,158678.0,333.0,47.571,7378.0,9.0,1.286,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,159548.0,870.0,124.286,7390.0,12.0,1.714,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,161666.0,2118.0,302.571,7407.0,17.0,2.429,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,165712.0,4046.0,578.0,7425.0,18.0,2.571,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,170152.0,4440.0,634.286,7488.0,63.0,9.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,171930.0,1778.0,254.0,7534.0,46.0,6.571,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,173180.0,1250.0,178.571,7588.0,54.0,7.714,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,174347.0,1167.0,166.714,7622.0,34.0,4.857,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,176062.0,1715.0,245.0,7642.0,20.0,2.857,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,177039.0,977.0,139.571,7652.0,10.0,1.429,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,177474.0,435.0,62.143,7660.0,8.0,1.143,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,177805.0,331.0,47.286,7671.0,11.0,1.571,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,178090.0,285.0,40.714,7675.0,4.0,0.571,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,178387.0,297.0,42.429,7676.0,1.0,0.143,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,178648.0,261.0,37.286,7681.0,5.0,0.714,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,178879.0,231.0,33.0,7683.0,2.0,0.286,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,178923.0,44.0,6.286,7684.0,1.0,0.143,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,179243.0,320.0,45.714,7690.0,6.0,0.857,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,179674.0,431.0,61.571,7697.0,7.0,1.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,180123.0,449.0,64.143,7701.0,4.0,0.571,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,180618.0,495.0,70.714,7709.0,8.0,1.143,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,181033.0,415.0,59.286,7709.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,181574.0,541.0,77.286,7713.0,4.0,0.571,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
